college,signingBonus_diff,awareness_rating,shortRouteRunning_diff,press_diff,carrying_diff,strength_rating,catchInTraffic_rating,pursuit_rating,plyrAssetname,breakSack_diff,plyrPortrait_diff,catching_rating,spinMove_rating,acceleration_diff,breakTackle_diff,height,finesseMoves_rating,strength_diff,runBlock_rating,tackle_rating,runBlock_diff,kickPower_diff,zoneCoverage_rating,plyrBirthdate,awareness_diff,runningStyle_rating,totalSalary,trucking_rating,toughness_diff,hitPower_diff,tackle_diff,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,status,lastName,jerseyNum_diff,jerseyNum,breakSack_rating,passBlockFinesse_diff,jumping_rating,throwAccuracyDeep_diff,stamina_diff,throwAccuracyShort_diff,powerMoves_diff,throwOnTheRun_diff,zoneCoverage_diff,jukeMove_diff,speed_diff,release_rating,agility_diff,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,impactBlocking_diff,stamina_rating,plyrPortrait,kickPower_rating,throwUnderPressure_rating,team,signingBonus,height_diff,playAction_diff,throwUnderPressure_diff,changeOfDirection_diff,blockShedding_rating,fullNameForSearch,overall_rating,deepRouteRunning_diff,passBlockFinesse_rating,runBlockFinesse_diff,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,primaryKey_diff,mediumRouteRunning_diff,playAction_rating,totalSalary_diff,teamId_diff,leadBlock_diff,catchInTraffic_diff,mediumRouteRunning_rating,acceleration_rating,spinMove_diff,yearsPro_diff,spectacularCatch_rating,injury_rating,weight,playRecognition_diff,deepRouteRunning_rating,firstName,yearsPro,manCoverage_diff,catching_diff,throwAccuracyShort_rating,position,overall_diff,weight_diff,bCVision_diff,throwPower_diff,speed_rating,runBlockPower_rating,injury_diff,toughness_rating,throwOnTheRun_rating,jumping_diff,spectacularCatch_diff,manCoverage_rating,stiffArm_rating,throwAccuracyMid_diff,trucking_diff,passBlock_diff,powerMoves_rating,iteration,stiffArm_diff,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,plyrHandedness,kickReturn_diff,passBlock_rating,changeOfDirection_rating,press_rating,passBlockPower_diff,pursuit_diff,release_diff,throwAccuracyDeep_rating,age_diff,archetype,runBlockPower_diff,runBlockFinesse_rating,finesseMoves_diff,blockShedding_diff,kickAccuracy_diff,teamId,agility_rating,age,primaryKey
Ohio State,0.0,77,0.0,0.0,0.0,74,48,77,BellVonn_17654,0.0,0.0,72,62,0.0,0.0,71,58,0.0,16,76,0.0,0.0,77,12/12/94,0.0,Short Stride High and Tight,15000000,45,0.0,0.0,-1.0,67,82,22,published,Bell,0.0,24,17,0.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,85,6,19,0.0,89,7891,20,16,Bengals,3000000,0.0,0.0,0.0,0.0,54,Vonn Bell,79,0.0,33,0.0,26,48,18,57,0.0,0.0,6,0.0,0.0,0.0,0.0,12,90,0.0,0.0,61,88,205,0.0,10,Vonn,5,0.0,0.0,6,SS,0.0,0.0,0.0,0.0,88,34,0.0,81,6,0.0,0.0,73,41,0.0,0.0,0.0,43,week-12,0.0,34,63,69,47,Right,0.0,25,81,61,0.0,0.0,0.0,6,0.0,S_RunSupport,0.0,33,0.0,0.0,0.0,2,84,26,17654
Oklahoma,0.0,86,0.0,0.0,0.0,89,15,30,HumphreyCreed_21551,0.0,0.0,25,10,0.0,0.0,77,10,0.0,78,39,0.0,0.0,11,6/28/98,0.0,Default Stride Awkward,4160000,18,0.0,0.0,0.0,10,25,15,published,Humphrey,0.0,52,12,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,25,6,11,0.0,85,729,14,14,Chiefs,1400000,0.0,0.0,0.0,0.0,26,Creed Humphrey,79,0.0,76,0.0,24,10,85,10,0.0,0.0,6,0.0,0.0,0.0,0.0,8,83,0.0,0.0,21,92,312,0.0,6,Creed,0,0.0,0.0,6,C,0.0,0.0,0.0,0.0,69,81,0.0,93,6,0.0,0.0,7,10,0.0,0.0,0.0,10,week-12,0.0,79,89,34,8,Left,0.0,78,54,10,0.0,0.0,0.0,6,0.0,C_Power,0.0,75,0.0,0.0,0.0,9,67,23,21551
USF,0.0,72,0.0,0.0,-1.0,72,61,32,MackMarlon_12647,0.0,0.0,66,79,0.0,0.0,72,10,0.0,32,28,0.0,0.0,12,3/7/96,-1.0,Short Stride Loose,500000,62,0.0,0.0,0.0,89,26,69,published,Mack,0.0,25,20,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,18,23,22,0.0,91,8647,25,16,Colts,1500000,0.0,0.0,0.0,0.0,26,Marlon Mack,79,0.0,23,0.0,31,60,48,83,0.0,0.0,17,0.0,0.0,0.0,0.0,62,93,0.0,0.0,58,86,210,0.0,54,Marlon,4,0.0,0.0,28,HB,-1.0,0.0,-1.0,0.0,89,20,0.0,81,29,0.0,0.0,12,81,0.0,0.0,0.0,10,week-12,0.0,28,46,89,81,Right,0.0,49,87,15,0.0,0.0,0.0,19,0.0,HB_ElusiveBack,0.0,20,0.0,0.0,0.0,10,92,25,12647
Arkansas,0.0,83,0.0,0.0,0.0,68,54,79,CurlKamren_21012,0.0,0.0,65,58,0.0,0.0,73,53,0.0,35,75,0.0,0.0,78,3/31/99,0.0,Short Stride Loose,3300000,34,0.0,0.0,0.0,69,82,38,published,Curl,0.0,31,10,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,77,10,17,0.0,88,225,22,10,Football Team,110000,0.0,0.0,0.0,0.0,56,Kamren Curl,79,0.0,35,0.0,20,59,12,63,0.0,0.0,10,0.0,0.0,0.0,0.0,31,89,0.0,0.0,62,90,198,0.0,27,Kamren,1,0.0,0.0,10,SS,0.0,0.0,0.0,0.0,86,35,0.0,84,10,0.0,0.0,73,36,0.0,0.0,0.0,44,week-12,0.0,35,57,55,51,Right,0.0,35,81,64,0.0,0.0,0.0,10,0.0,S_Zone,0.0,35,0.0,0.0,0.0,26,83,22,21012
W. Michigan,0.0,80,0.0,0.0,0.0,72,85,36,DavisCorey_12540,0.0,0.0,83,72,0.0,0.0,75,10,0.0,58,31,0.0,0.0,28,1/11/95,0.0,Long Stride Loose,11500000,61,0.0,0.0,0.0,86,26,83,published,Davis,0.0,84,22,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.0,27,20,18,0.0,84,8523,18,24,Jets,25990000,0.0,0.0,0.0,0.0,37,Corey Davis,79,0.0,25,0.0,33,20,42,84,0.0,0.0,24,0.0,0.0,0.0,0.0,83,91,0.0,0.0,88,87,209,0.0,81,Corey,4,0.0,0.0,26,WR,0.0,0.0,0.0,0.0,90,37,0.0,87,27,0.0,0.0,20,79,0.0,0.0,0.0,10,week-12,0.0,30,62,70,80,Right,0.0,57,86,17,0.0,0.0,0.0,18,0.0,WR_DeepThreat,0.0,35,0.0,0.0,0.0,18,91,26,12540
Connecticut,0.0,82,0.0,0.0,0.0,90,15,83,FatukasiFolorunso_13294,0.0,0.0,23,13,0.0,0.0,76,54,0.0,45,82,0.0,0.0,28,3/4/95,0.0,Long Stride Loose,3890000,17,0.0,0.0,-2.0,17,85,15,published,Fatukasi,0.0,94,12,0.0,74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,0.0,81,6,15,0.0,73,8884,10,10,Jets,160000,0.0,0.0,0.0,0.0,80,Folorunso Fatukasi,79,0.0,45,0.0,20,10,29,16,0.0,0.0,6,0.0,0.0,0.0,0.0,7,81,0.0,0.0,15,88,315,0.0,3,Folorunso,3,0.0,0.0,6,DT,0.0,0.0,0.0,0.0,63,45,0.0,89,6,0.0,0.0,18,23,0.0,0.0,0.0,75,week-12,0.0,45,85,26,10,Right,0.0,45,60,12,0.0,0.0,0.0,6,0.0,DT_RunStopper,0.0,45,1.0,1.0,0.0,18,69,26,13294
Indiana St.,0.0,81,0.0,0.0,0.0,74,78,34,TonyanRobert_13848,0.0,0.0,96,59,0.0,0.0,77,10,0.0,60,39,0.0,0.0,15,4/30/94,-1.0,Long Stride Loose,3380000,68,0.0,0.0,0.0,68,39,74,published,Tonyan,0.0,85,35,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,22,33,12,0.0,75,9943,17,25,Packers,0,0.0,0.0,0.0,0.0,33,Robert Tonyan,79,0.0,50,0.0,46,10,50,66,0.0,0.0,22,0.0,0.0,0.0,0.0,69,90,0.0,0.0,81,84,237,0.0,64,Robert,3,0.0,0.0,37,TE,0.0,0.0,0.0,0.0,85,60,0.0,75,24,0.0,0.0,15,62,0.0,0.0,0.0,10,week-12,0.0,53,62,73,59,Right,0.0,56,75,25,0.0,0.0,0.0,26,0.0,TE_VerticalThreat,0.0,57,0.0,0.0,0.0,20,81,27,13848
FIU,0.0,80,0.0,0.0,0.0,78,80,41,SmithJonnu_12700,0.0,0.0,82,75,0.0,0.0,75,25,0.0,61,29,0.0,0.0,20,8/22/95,0.0,Default,18690000,69,0.0,0.0,0.0,80,15,76,published,Smith,0.0,81,13,0.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.0,37,6,26,0.0,85,8731,26,10,Patriots,31250000,0.0,0.0,0.0,0.0,30,Jonnu Smith,79,0.0,54,0.0,35,20,54,80,0.0,0.0,6,0.0,0.0,0.0,0.0,70,88,0.0,0.0,84,88,248,0.0,67,Jonnu,4,0.0,0.0,6,TE,0.0,0.0,0.0,0.0,87,55,0.0,80,6,0.0,0.0,15,78,0.0,0.0,0.0,25,week-12,0.0,56,68,73,75,Right,0.0,57,79,10,0.0,0.0,0.0,6,0.0,TE_VerticalThreat,0.0,60,0.0,0.0,0.0,22,79,26,12700
Georgia,0.0,84,0.0,0.0,0.0,87,16,29,WynnIsaiah_13118,0.0,0.0,20,13,0.0,0.0,74,13,0.0,81,33,0.0,0.0,15,12/9/95,0.0,Long Stride Awkward,15450000,29,0.0,0.0,0.0,16,15,10,published,Wynn,0.0,76,12,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,36,6,13,0.0,89,9127,17,10,Patriots,6400000,0.0,0.0,0.0,0.0,30,Isaiah Wynn,79,0.0,78,0.0,16,10,84,15,0.0,0.0,6,0.0,0.0,0.0,0.0,8,76,0.0,0.0,14,81,310,0.0,5,Isaiah,3,0.0,0.0,10,LT,0.0,0.0,0.0,0.0,70,82,0.0,97,6,0.0,0.0,12,22,0.0,0.0,0.0,18,week-12,0.0,82,83,25,14,Right,0.0,81,57,10,0.0,0.0,0.0,6,0.0,OT_Power,0.0,78,0.0,0.0,0.0,22,76,25,13118
Memphis,0.0,81,0.0,0.0,0.0,68,53,35,HendersonDarrell_20509,0.0,0.0,67,78,0.0,0.0,68,10,0.0,35,36,0.0,0.0,15,8/19/97,0.0,Default Stride High and Tight,3120000,72,0.0,0.0,0.0,86,26,63,published,Henderson Jr,0.0,27,25,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.0,19,26,13,0.0,87,9498,16,19,Rams,1080000,0.0,0.0,0.0,0.0,25,Darrell Henderson Jr,79,0.0,33,0.0,55,75,36,82,0.0,0.0,16,0.0,0.0,0.0,0.0,57,95,0.0,0.0,52,89,208,0.0,52,Darrell,2,0.0,0.0,31,HB,0.0,0.0,0.0,0.0,89,25,0.0,87,21,0.0,0.0,12,76,0.0,0.0,0.0,10,week-12,0.0,34,38,94,76,Right,0.0,65,79,16,0.0,0.0,0.0,20,0.0,HB_ElusiveBack,0.0,27,0.0,0.0,0.0,24,88,24,20509
North Carolina,0.0,79,0.0,0.0,0.0,73,81,69,EbronEric_10855,0.0,0.0,80,75,0.0,0.0,76,60,0.0,56,54,0.0,0.0,24,4/10/93,0.0,Default Stride Loose,7000000,73,0.0,0.0,0.0,82,45,74,published,Ebron,0.0,85,24,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0.0,57,24,19,0.0,86,6400,24,25,Steelers,5000000,0.0,0.0,0.0,0.0,57,Eric Ebron,79,0.0,57,0.0,43,15,53,83,0.0,0.0,26,0.0,0.0,0.0,0.0,72,88,0.0,0.0,83,88,253,0.0,70,Eric,7,0.0,0.0,31,TE,0.0,0.0,0.0,0.0,85,56,0.0,84,31,0.0,0.0,14,75,0.0,0.0,0.0,51,week-12,0.0,61,68,77,75,Right,0.0,61,74,10,0.0,0.0,-1.0,19,0.0,TE_VerticalThreat,0.0,55,0.0,0.0,0.0,29,84,28,10855
Mississippi St.,0.0,89,0.0,0.0,0.0,82,15,86,AutryDenico_2366,0.0,0.0,35,10,0.0,0.0,77,71,0.0,45,82,0.0,0.0,29,7/15/90,0.0,Default Stride Awkward,12500000,25,0.0,0.0,0.0,10,87,15,published,Autry,0.0,96,12,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,73,6,11,0.0,76,7005,17,16,Titans,8940000,0.0,0.0,0.0,0.0,76,Denico Autry,79,0.0,45,0.0,14,10,18,19,0.0,0.0,6,0.0,0.0,0.0,0.0,8,81,0.0,0.0,15,88,285,0.0,4,Denico,7,0.0,0.0,6,LE,0.0,0.0,0.0,0.0,69,45,0.0,80,6,0.0,0.0,24,35,0.0,0.0,0.0,85,week-12,0.0,45,78,45,10,Right,0.0,45,65,10,0.0,0.0,0.0,6,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,30,69,31,2366
FAU,0.0,78,0.0,0.0,0.0,70,49,37,SingletaryDevin_20491,0.0,0.0,66,80,0.0,0.0,67,10,0.0,31,37,0.0,0.0,15,9/3/97,0.0,Default Stride High and Tight,2880000,78,0.0,0.0,0.0,89,12,60,published,Singletary,0.0,26,27,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,21,15,10,0.0,89,9629,14,12,Bills,1010000,0.0,0.0,0.0,0.0,25,Devin Singletary,78,0.0,35,0.0,24,73,34,83,0.0,0.0,17,0.0,0.0,0.0,0.0,54,90,0.0,0.0,45,94,203,0.0,47,Devin,2,0.0,0.0,21,HB,0.0,0.0,0.0,0.0,86,24,0.0,90,14,0.0,0.0,13,78,0.0,0.0,0.0,10,week-12,0.0,38,41,82,83,Right,0.0,54,92,15,0.0,0.0,0.0,12,0.0,HB_ElusiveBack,0.0,21,0.0,0.0,0.0,3,91,23,20491
Louisville,0.0,78,0.0,0.0,0.0,53,40,20,BridgewaterTeddy_10837,0.0,0.0,55,73,0.0,0.0,74,10,0.0,15,29,0.0,0.0,20,11/10/92,0.0,Default,2500000,34,0.0,0.0,0.0,74,15,32,published,Bridgewater,0.0,5,88,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,12,83,25,0.0,81,6359,25,86,Broncos,16000000,0.0,0.0,0.0,0.0,25,Teddy Bridgewater,78,0.0,15,0.0,86,10,20,80,0.0,0.0,81,0.0,0.0,0.0,0.0,22,86,0.0,0.0,34,87,215,0.0,12,Teddy,7,0.0,0.0,89,QB,0.0,0.0,0.0,0.0,82,30,0.0,94,85,0.0,0.0,15,48,0.0,0.0,0.0,10,week-12,0.0,25,30,66,73,Right,0.0,15,81,10,0.0,0.0,0.0,83,0.0,QB_Improviser,0.0,20,0.0,0.0,0.0,4,85,28,10837
Kansas State,0.0,87,0.0,0.0,0.0,87,18,42,RisnerDalton_20361,0.0,0.0,31,17,0.0,0.0,77,24,0.0,80,44,0.0,0.0,12,7/13/95,0.0,Default Stride Awkward,3620000,27,0.0,0.0,0.0,19,29,15,published,Risner,0.0,66,12,0.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,41,6,12,0.0,82,9612,18,10,Broncos,3520000,0.0,0.0,0.0,0.0,36,Dalton Risner,78,0.0,74,0.0,26,10,87,20,0.0,0.0,6,0.0,0.0,0.0,0.0,6,76,0.0,0.0,16,85,312,0.0,5,Dalton,2,0.0,0.0,6,LG,0.0,0.0,0.0,0.0,62,82,0.0,90,6,0.0,0.0,12,23,0.0,0.0,0.0,31,week-12,0.0,78,83,34,10,Right,0.0,76,57,10,0.0,0.0,0.0,6,0.0,G_Power,0.0,77,0.0,0.0,0.0,4,61,26,20361
Michigan,0.0,84,0.0,0.0,0.0,88,21,82,ClarkFrank_2552,0.0,0.0,44,20,0.0,0.0,75,74,0.0,45,74,0.0,0.0,47,6/14/93,0.0,Default Stride Loose,60500000,35,0.0,0.0,0.0,26,80,15,published,Clark,0.0,55,12,0.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,82,6,19,0.0,80,7046,22,16,Chiefs,43800000,0.0,0.0,0.0,0.0,67,Frank Clark,78,0.0,45,0.0,27,10,19,32,0.0,0.0,6,0.0,0.0,0.0,0.0,8,89,0.0,0.0,30,86,260,0.0,4,Frank,6,0.0,0.0,6,RE,0.0,0.0,0.0,0.0,82,45,0.0,72,6,0.0,0.0,34,32,0.0,0.0,0.0,79,week-12,0.0,45,89,56,16,Right,0.0,45,69,10,0.0,0.0,0.0,6,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,9,79,28,2552
Stanford,0.0,79,0.0,0.0,0.0,76,80,34,SchultzDalton_13435,0.0,0.0,87,59,0.0,0.0,77,10,0.0,68,29,0.0,0.0,15,7/11/96,1.0,Long Stride High and Tight,3890000,68,0.0,0.0,0.0,70,16,71,published,Schultz,0.0,86,12,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0.0,27,10,14,0.0,79,9050,16,10,Cowboys,440000,0.0,0.0,0.0,0.0,31,Dalton Schultz,78,0.0,61,0.0,24,38,59,76,0.0,0.0,5,0.0,0.0,0.0,0.0,66,87,0.0,0.0,82,91,244,0.0,61,Dalton,3,0.0,0.0,15,TE,0.0,0.0,0.0,0.0,81,63,0.0,86,10,0.0,0.0,12,66,0.0,0.0,0.0,10,week-12,0.0,56,72,72,62,Right,0.0,61,71,12,0.0,0.0,0.0,5,0.0,TE_Possession,0.0,67,0.0,0.0,0.0,11,81,25,13435
South Carolina,0.0,76,0.0,0.0,0.0,74,54,30,DavisMike_2405,0.0,0.0,72,84,0.0,-1.0,69,10,0.0,45,29,0.0,0.0,15,2/19/93,0.0,Default,3000000,83,0.0,0.0,0.0,86,11,60,published,Davis,0.0,28,18,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,17,25,20,0.0,83,7074,21,14,Falcons,2500000,0.0,0.0,0.0,0.0,10,Mike Davis,78,0.0,29,0.0,25,40,43,84,0.0,0.0,10,0.0,0.0,0.0,0.0,53,91,0.0,0.0,44,88,221,0.0,46,Mike,6,0.0,0.0,30,HB,0.0,0.0,0.0,0.0,88,34,0.0,80,10,0.0,0.0,10,79,0.0,0.0,0.0,9,week-12,0.0,33,40,90,83,Right,0.0,53,84,15,0.0,0.0,0.0,15,0.0,HB_ElusiveBack,0.0,37,0.0,0.0,0.0,14,85,28,2405
LSU,0.0,77,0.0,0.0,0.0,64,84,29,CharkDJ_13255,0.0,0.0,84,76,0.0,0.0,76,10,0.0,50,27,0.0,0.0,17,9/23/96,0.0,Long Stride Default,4220000,33,0.0,0.0,0.0,82,16,77,published,Chark Jr,0.0,17,20,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,17,15,15,0.0,86,8843,19,19,Jaguars,1310000,0.0,0.0,0.0,0.0,21,D.J. Chark Jr,78,0.0,20,0.0,28,78,17,84,0.0,0.0,10,0.0,0.0,0.0,0.0,79,93,0.0,0.0,87,88,198,0.0,81,D.J.,3,0.0,0.0,20,WR,0.0,0.0,0.0,0.0,94,27,0.0,80,15,0.0,0.0,10,56,0.0,0.0,0.0,10,week-12,0.0,15,41,73,72,Right,0.0,26,82,10,0.0,0.0,0.0,10,0.0,WR_DeepThreat,0.0,22,0.0,0.0,0.0,17,85,24,13255
Duke,0.0,79,-1.0,0.0,0.0,58,84,35,CrowderJamison_2450,0.0,0.0,87,87,0.0,0.0,69,10,0.0,41,25,0.0,0.0,25,6/17/93,-4.0,Default Stride Loose,6350000,37,0.0,0.0,0.0,92,20,81,published,Crowder,0.0,82,26,0.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,12,26,30,0.0,85,7066,30,26,Jets,16780000,0.0,0.0,0.0,0.0,35,Jamison Crowder,78,0.0,20,0.0,48,86,25,87,0.0,0.0,17,0.0,0.0,0.0,0.0,80,91,0.0,0.0,82,88,177,0.0,77,Jamison,6,0.0,0.0,32,WR,-1.0,0.0,0.0,0.0,89,14,0.0,80,10,0.0,0.0,10,48,0.0,0.0,0.0,10,week-12,0.0,23,45,74,82,Right,0.0,30,93,15,0.0,0.0,0.0,29,0.0,WR_Slot,0.0,11,0.0,0.0,0.0,18,94,28,2450
Houston,0.0,80,0.0,0.0,0.0,75,49,82,BowserTyus_12619,0.0,0.0,63,32,0.0,0.0,75,80,0.0,45,78,0.0,0.0,57,5/23/95,4.0,Long Stride Loose,11000000,33,0.0,0.0,3.0,43,78,23,published,Bowser,0.0,54,12,0.0,89,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,21,0.0,78,6,12,0.0,84,8486,14,14,Ravens,11000000,0.0,0.0,0.0,0.0,68,Tyus Bowser,78,0.0,45,0.0,23,10,14,42,0.0,0.0,6,0.0,0.0,0.0,0.0,13,89,0.0,0.0,50,88,240,3.0,7,Tyus,4,8.0,0.0,6,ROLB,3.0,0.0,0.0,0.0,83,45,0.0,81,6,0.0,0.0,53,47,0.0,0.0,0.0,69,week-12,0.0,45,74,52,26,Right,0.0,45,68,33,0.0,2.0,0.0,6,0.0,OLB_SpeedRusher,0.0,45,1.0,1.0,0.0,25,82,26,12619
UCLA,0.0,82,0.0,0.0,0.0,76,49,84,BarrAnthony_10828,0.0,0.0,71,66,0.0,0.0,77,53,0.0,45,85,0.0,0.0,67,3/18/92,0.0,Default,11200000,67,0.0,0.0,0.0,65,81,35,published,Barr,0.0,55,12,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,86,6,30,0.0,89,6338,30,16,Vikings,19260000,0.0,0.0,0.0,0.0,75,Anthony Barr,78,0.0,45,0.0,35,10,24,70,0.0,0.0,6,0.0,0.0,0.0,0.0,25,87,0.0,0.0,48,85,255,0.0,17,Anthony,7,0.0,0.0,6,LOLB,0.0,0.0,0.0,0.0,86,45,0.0,80,6,0.0,0.0,62,65,0.0,0.0,0.0,60,week-12,0.0,45,88,70,40,Right,0.0,45,74,35,0.0,0.0,0.0,6,0.0,OLB_RunStopper,0.0,45,0.0,0.0,0.0,31,88,29,10828
Coastal Carolina,0.0,87,0.0,0.0,0.0,67,50,84,NormanJosh_11579,0.0,0.0,80,73,0.0,0.0,72,49,0.0,35,62,0.0,0.0,80,12/15/87,0.0,Short Stride Bread Loaf,1210000,28,0.0,0.0,0.0,82,80,25,published,Norman,0.0,26,17,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,71,6,20,0.0,94,5393,20,17,49ers,200000,0.0,0.0,0.0,0.0,52,Josh Norman,78,0.0,35,0.0,35,35,17,71,0.0,0.0,6,0.0,0.0,0.0,0.0,15,88,0.0,0.0,79,96,200,0.0,11,Josh,9,0.0,0.0,6,CB,0.0,0.0,0.0,0.0,88,35,0.0,87,6,0.0,0.0,72,56,0.0,0.0,0.0,45,week-12,0.0,35,57,64,57,Right,0.0,35,87,82,0.0,0.0,0.0,6,0.0,CB_Zone,0.0,35,0.0,0.0,0.0,15,89,33,11579
Michigan St.,0.0,79,0.0,0.0,0.0,67,66,85,WaynesTrae_2574,0.0,0.0,71,67,0.0,0.0,72,40,0.0,35,51,0.0,0.0,76,7/25/92,0.0,Default Stride Bread Loaf,27000000,10,0.0,0.0,0.0,71,80,25,published,Waynes,0.0,26,15,0.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,40,6,14,0.0,93,7371,15,11,Bengals,15000000,0.0,0.0,0.0,0.0,61,Trae Waynes,78,0.0,35,0.0,25,39,16,64,0.0,0.0,6,0.0,0.0,0.0,0.0,15,91,0.0,0.0,73,87,190,0.0,10,Trae,6,0.0,0.0,6,CB,0.0,0.0,0.0,0.0,92,35,0.0,82,6,0.0,0.0,78,35,0.0,0.0,0.0,48,week-12,0.0,35,46,54,55,Right,0.0,35,87,80,0.0,0.0,0.0,6,0.0,CB_MantoMan,0.0,35,0.0,0.0,0.0,2,86,29,2574
Florida State,0.0,81,0.0,0.0,0.0,70,34,72,DarbyRonald_2579,0.0,0.0,77,75,0.0,0.0,71,35,0.0,35,59,0.0,0.0,78,1/2/94,0.0,Default Stride Bread Loaf,11000000,23,0.0,0.0,0.0,76,78,20,published,Darby,0.0,21,17,0.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,47,6,18,0.0,92,7068,19,14,Broncos,19000000,0.0,0.0,0.0,0.0,54,Ronald Darby,78,0.0,35,0.0,26,50,14,63,0.0,0.0,6,0.0,0.0,0.0,0.0,10,91,0.0,0.0,66,84,193,0.0,10,Ronald,6,0.0,0.0,6,CB,0.0,0.0,0.0,0.0,91,35,0.0,59,6,0.0,0.0,77,24,0.0,0.0,0.0,24,week-12,0.0,35,54,60,57,Right,0.0,35,88,79,0.0,0.0,0.0,6,0.0,CB_MantoMan,0.0,35,0.0,0.0,0.0,4,87,27,2579
Wash. St.,0.0,82,0.0,0.0,0.0,60,50,76,ThompsonJalen_20813,0.0,0.0,71,64,0.0,0.0,71,53,0.0,35,67,0.0,0.0,78,7/18/98,0.0,Default Stride Loose,2540000,37,0.0,0.0,0.0,70,80,20,published,Thompson,0.0,34,10,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,70,6,21,0.0,88,1532,21,16,Cardinals,320000,0.0,0.0,0.0,0.0,56,Jalen Thompson,78,0.0,35,0.0,22,60,14,51,0.0,0.0,6,0.0,0.0,0.0,0.0,10,91,0.0,0.0,67,89,190,0.0,10,Jalen,2,0.0,0.0,6,FS,0.0,0.0,0.0,0.0,90,35,0.0,85,6,0.0,0.0,72,45,0.0,0.0,0.0,50,week-12,0.0,35,57,58,44,Right,0.0,35,86,68,0.0,0.0,0.0,6,0.0,S_Zone,0.0,35,0.0,0.0,0.0,7,85,23,20813
Georgia,0.0,78,0.0,0.0,0.0,60,78,51,HardmanMecole_20508,0.0,0.0,85,78,0.0,0.0,70,11,0.0,42,45,0.0,0.0,41,3/12/98,0.0,Short Stride Loose,3130000,55,0.0,0.0,0.0,84,38,78,published,Hardman,0.0,17,34,0.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0,31,40,32,0.0,85,9489,44,29,Chiefs,1870000,0.0,0.0,0.0,0.0,41,Mecole Hardman,78,0.0,10,0.0,58,86,20,85,0.0,0.0,36,0.0,0.0,0.0,0.0,78,95,0.0,0.0,81,85,187,0.0,81,Mecole,2,0.0,0.0,45,WR,0.0,0.0,0.0,0.0,97,18,0.0,73,44,0.0,0.0,46,57,0.0,0.0,0.0,11,week-12,0.0,10,41,71,75,Right,0.0,23,87,41,0.0,0.0,0.0,40,0.0,WR_DeepThreat,0.0,11,0.0,0.0,0.0,9,92,23,20508
